timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:27:23.785587,0,0,147.10128784179688,0.0,0.0,2.0,44.4,144595659,22858342798,342901,16406661,2.0,,192.168.1.100
2024-09-22 18:27:24.787192,0,0,148.10289311408997,0.0,0.0,6.0,44.4,144619467,22858351844,342961,16406711,2.0,,192.168.1.100
2024-09-22 18:27:25.788723,0,0,149.10442352294922,0.0,0.0,11.2,44.5,144624256,22858359583,342999,16406742,2.0,,192.168.1.100
2024-09-22 18:27:26.790437,0,0,150.1061384677887,0.0,0.0,5.5,44.5,144644236,22858383398,343098,16406840,2.0,,192.168.1.100
2024-09-22 18:27:27.792053,0,0,151.10775351524353,0.0,0.0,14.6,44.3,144670421,22858413940,343246,16406985,2.0,,192.168.1.100
2024-09-22 18:27:28.796545,0,0,152.11224555969238,0.0,0.0,3.5,44.3,144671965,22858415035,343259,16406996,2.0,,192.168.1.100
2024-09-22 18:27:29.797590,0,0,153.11329078674316,0.0,0.0,85.4,45.1,144677880,22858421865,343286,16407021,2.0,,192.168.1.100
2024-09-22 18:27:30.798834,0,0,154.11453533172607,0.0,0.0,53.0,45.5,144699252,22858427480,343323,16407049,2.0,,192.168.1.100
2024-09-22 18:27:31.800501,0,0,155.11620211601257,0.0,0.0,8.9,45.6,144706997,22858436202,343365,16407086,2.0,,192.168.1.100
2024-09-22 18:27:32.802088,0,0,156.11778926849365,0.0,0.0,3.0,45.6,144710437,22858440125,343382,16407101,2.0,,192.168.1.100
2024-09-22 18:27:33.803674,0,0,157.11937522888184,0.0,0.0,0.5,45.6,144711922,22858441133,343394,16407111,2.0,,192.168.1.100
2024-09-22 18:27:34.805292,0,0,158.12099313735962,0.0,0.0,5.6,45.6,144720497,22858451041,343448,16407164,2.0,,192.168.1.100
2024-09-22 18:27:35.806945,0,0,159.1226463317871,0.0,0.0,5.6,45.6,144728621,22858459726,343483,16407195,2.0,,192.168.1.100
2024-09-22 18:27:36.808556,0,0,160.1242573261261,0.0,0.0,32.0,45.7,144833576,22858516799,343552,16407253,2.0,,192.168.1.100
